,code,caption,description,additionalInfo,tags,workspaceCode,dataType,index,operation,hidden,links
40,L2_PHE_S,Phenology (Seasonal),"Phenology indicates the cycle or season of a crop and, in this case, is defined by the dekad (D) corresponding to the start, maximum and end of the growing season. This information can be derived from satellite-based vegetation index time series. Phenology is delivered for a maximum of two growing seasons annually. The phenology for one growing season is therefore delivered as three raster files. The first raster indicates the Start of Season (SOS), the second the Maximum of Season (MOS) and the third represents the End of Season (EOS). With a maximum of 2 growing seasons annually, a full year is described by 6 raster files. The pixel values of the phenology data components are expressed in dekad numbers.","{'format': 'Raster Dataset', 'unit': 'D', 'dataType': 'Byte (8bit Unsigned Integer)', 'noDataValue': 255, 'flags': [{'value': 251, 'description': 'no season detected'}], 'spatialResolution': '100m (0.000992 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Seasonal', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'Phenological information is derived from a time series of dekadal vegetation index composites (NDVI) applying the methodology described by Van Hoolst et al. (see methodology document for references). The input dekadal NDVI time series covers exactly three calendar years (3 x 36 = 108 dekads), with the target year in the middle (1-36 for the first year, 37-72 for the target year, 73-108 for the next year). A growing season is attributed to a calendar year if the EOS occurs in it or in the first 3 dekads of the following calendar year. Thus, EOS has a value between 37 and 75 whilst SOS pixel values must be smaller than 72.  251 denotes ""no season"" (if no growing season can be distinguished, which is true for perennial land cover and fallow cropland).\n\nThe following data is used to calculate Phenology: NDVI\n\nData component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/\n\nUntil December 2019 the base input layers (NDVI, albedo, and fAPAR) for the Level 2 (100m) products were derived from the Proba-V satellite. Proba-V was decommissioned in June 2020. From January 2020 onwards the base input layers of NDVI, albedo and fAPAR for level 2 are derived from the Copernicus Sentinel-2 mission.'}","[{'name': 'L2', 'index': 15, 'context': 'LEVELS_LIST'}, {'name': 'LAND', 'index': 4, 'context': 'CATEGORIES_LIST'}, {'name': 'L2', 'index': 15, 'context': 'levels'}, {'name': 'C3', 'index': 4, 'context': 'categories'}]",WAPOR_2,RASTER,215,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': False}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L2_PHE_S'}]"
68,L3_AWA_AETI_A,"Actual EvapoTranspiration and Interception (Awash, Ethiopia - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Awash, Ethiopia', 'spatialReferenceSystem': 'EPSG:32637 - WGS 84 / UTM zone 37N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 29, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 1, 'context': 'CATEGORIES_LIST'}, {'name': 'AWA', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30029,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_AWA_AETI_A'}]"
69,L3_BKA_AETI_A,"Actual EvapoTranspiration and Interception (Bekaa, Lebanon - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Bekaa, Lebanon', 'spatialReferenceSystem': 'EPSG:32636 - WGS 84 / UTM zone 36N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 30, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 2, 'context': 'CATEGORIES_LIST'}, {'name': 'BKA', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30030,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_BKA_AETI_A'}]"
70,L3_BUS_AETI_A,"Actual EvapoTranspiration and Interception (Busia, Kenya - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Busia, Kenya', 'spatialReferenceSystem': 'EPSG:32636 - WGS 84 / UTM zone 36N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 31, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 3, 'context': 'CATEGORIES_LIST'}, {'name': 'BUS', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30031,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_BUS_AETI_A'}]"
71,L3_GEZ_AETI_A,"Actual EvapoTranspiration and Interception (Gezira, Sudan - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Gezira, Sudan', 'spatialReferenceSystem': 'EPSG:32636 - WGS 84 / UTM zone 36N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 32, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 4, 'context': 'CATEGORIES_LIST'}, {'name': 'GEZ', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30032,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_GEZ_AETI_A'}]"
72,L3_KOG_AETI_A,"Actual EvapoTranspiration and Interception (Koga, Ethiopia - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Koga, Ethiopia', 'spatialReferenceSystem': 'EPSG:32637 - WGS 84 / UTM zone 37N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 33, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 5, 'context': 'CATEGORIES_LIST'}, {'name': 'KOG', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30033,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_KOG_AETI_A'}]"
73,L3_LAK_AETI_A,"Actual EvapoTranspiration and Interception (Lower Akagera, Rwanda - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Lower Akagera, Rwanda', 'spatialReferenceSystem': 'EPSG:32736 - WGS 84 / UTM zone 36S', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 34, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 6, 'context': 'CATEGORIES_LIST'}, {'name': 'LAK', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30034,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_LAK_AETI_A'}]"
74,L3_LAM_AETI_A,"Actual EvapoTranspiration and Interception (Lamego, Mozambique - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Lamego, Mozambique', 'spatialReferenceSystem': 'EPSG:32736 - WGS 84 / UTM zone 36S', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 35, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 7, 'context': 'CATEGORIES_LIST'}, {'name': 'LAM', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30035,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_LAM_AETI_A'}]"
75,L3_MAL_AETI_A,"Actual EvapoTranspiration and Interception (Malwathu Oya West Sub Catchment, Sri Lanka - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Malwathu Oya West Sub Catchment, Sri Lanka', 'spatialReferenceSystem': 'EPSG:32644 - WGS 84 / UTM zone 44N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 36, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 8, 'context': 'CATEGORIES_LIST'}, {'name': 'MAL', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30036,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_MAL_AETI_A'}]"
76,L3_MUV_AETI_A,"Actual EvapoTranspiration and Interception (Muvumba catchment, Rwanda - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Muvumba catchment, Rwanda', 'spatialReferenceSystem': 'EPSG:32736 - WGS 84 / UTM zone 36S', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 37, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 9, 'context': 'CATEGORIES_LIST'}, {'name': 'MUV', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30037,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_MUV_AETI_A'}]"
77,L3_ODN_AETI_A,"Actual EvapoTranspiration and Interception (Office du Niger, Mali - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Office du Niger, Mali', 'spatialReferenceSystem': 'EPSG:32630 - WGS 84 / UTM zone 30N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 38, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 10, 'context': 'CATEGORIES_LIST'}, {'name': 'ODN', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30038,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_ODN_AETI_A'}]"
78,L3_SED_AETI_A,"Actual EvapoTranspiration and Interception (Senegal Delta, Senegal - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Senegal Delta, Senegal', 'spatialReferenceSystem': 'EPSG:32628 - WGS 84 / UTM zone 28N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 40, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 12, 'context': 'CATEGORIES_LIST'}, {'name': 'SED', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30040,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_SED_AETI_A'}]"
79,L3_YAN_AETI_A,"Actual EvapoTranspiration and Interception (Yanze catchment, Rwanda - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Yanze catchment, Rwanda', 'spatialReferenceSystem': 'EPSG:32736 - WGS 84 / UTM zone 36S', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 41, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 13, 'context': 'CATEGORIES_LIST'}, {'name': 'YAN', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30041,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_YAN_AETI_A'}]"
80,L3_ZAN_AETI_A,"Actual EvapoTranspiration and Interception (Zankalon, Egypt - Annual)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Zankalon, Egypt', 'spatialReferenceSystem': 'EPSG:32636 - WGS 84 / UTM zone 36N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L3', 'index': 42, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 14, 'context': 'CATEGORIES_LIST'}, {'name': 'ZAN', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30042,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_ZAN_AETI_A'}]"
81,L3_AWA_AETI_M,"Actual EvapoTranspiration and Interception (Awash, Ethiopia - Monthly)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Awash, Ethiopia', 'spatialReferenceSystem': 'EPSG:32637 - WGS 84 / UTM zone 37N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Monthly', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The monthly total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each month.'}","[{'name': 'L3', 'index': 43, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 15, 'context': 'CATEGORIES_LIST'}, {'name': 'AWA', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30043,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_AWA_AETI_M'}]"
82,L3_BKA_AETI_M,"Actual EvapoTranspiration and Interception (Bekaa, Lebanon - Monthly)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Bekaa, Lebanon', 'spatialReferenceSystem': 'EPSG:32636 - WGS 84 / UTM zone 36N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Monthly', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The monthly total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each month.'}","[{'name': 'L3', 'index': 44, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 16, 'context': 'CATEGORIES_LIST'}, {'name': 'BKA', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30044,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_BKA_AETI_M'}]"
83,L3_BUS_AETI_M,"Actual EvapoTranspiration and Interception (Busia, Kenya - Monthly)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Busia, Kenya', 'spatialReferenceSystem': 'EPSG:32636 - WGS 84 / UTM zone 36N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Monthly', 'methodology': 'See ETIa by dekad for further information. The monthly total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each month.'}","[{'name': 'L3', 'index': 45, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 17, 'context': 'CATEGORIES_LIST'}, {'name': 'BUS', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30045,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_BUS_AETI_M'}]"
84,L3_GEZ_AETI_M,"Actual EvapoTranspiration and Interception (Gezira, Sudan - Monthly)","The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '30m', 'spatialExtent': 'Gezira, Sudan', 'spatialReferenceSystem': 'EPSG:32636 - WGS 84 / UTM zone 36N', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Monthly', 'methodology': 'See ETIa by dekad for further information. The monthly total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each month.'}","[{'name': 'L3', 'index': 46, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 18, 'context': 'CATEGORIES_LIST'}, {'name': 'GEZ', 'context': 'L3_AREA'}]",WAPOR_2,RASTER,30046,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L3_GEZ_AETI_M'}]"
